code,select_td,buy_td,t0,f1_ma20_slope,f2_close_ma20_dev,f3_mdd_5d,f4_ret_acc,f5_amt_ma20,f6_vol_20d,score,rank,sell_td,buy_open,sell_close,gross_ret,net_ret,behave,last_avail
159611.SZ,2024-06-27,2024-06-28,2024-06-27,-0.9459538219872041,-0.41743522015781254,1.34525296168551,-0.5994577885031103,-0.475104640888316,-1.1698517428662023,-0.34404291803053466,1,2024-07-05,1.0190000000000001,1.053,0.03336604514229613,0.03336604514229613,TRADE_OK,2025-12-23
513310.SH,2024-07-04,2024-07-05,2024-07-04,-0.20566757714785772,-0.10808691953824064,0.6843958848919774,-0.6853790013477221,-0.4270882270127296,-0.7804712657747087,-0.21164820468787962,1,2024-07-12,1.347,1.371,0.017817371937639104,0.017817371937639104,TRADE_OK,2025-12-23
515050.SH,2024-07-04,2024-07-05,2024-07-04,-0.2703122914859485,-0.029724095854740257,0.35137575011563926,-1.125291485710618,-0.520530393331862,-0.276115993128578,-0.36403066360894076,2,2024-07-12,0.995,1.048,0.05326633165829153,0.05326633165829153,TRADE_OK,2025-12-23
515880.SH,2024-07-04,2024-07-05,2024-07-04,-0.44130798747700917,-0.28668844839060037,0.001875367791932241,-1.4567898666840018,-0.3673594159031632,-0.1183555554200668,-0.3742481878148664,3,2024-07-12,1.157,1.204,0.04062229904926529,0.04062229904926529,TRADE_OK,2025-12-23
159941.SZ,2024-07-18,2024-07-19,2024-07-18,-0.5622561626902037,-0.09603728529686203,0.09359227614231312,1.1989723399358936,1.238409344683947,-0.6761486193668856,0.41489368142994526,1,2024-07-26,1.108,1.062,-0.041516245487364656,-0.041516245487364656,TRADE_OK,2025-12-23
513300.SH,2024-07-25,2024-07-26,2024-07-25,-0.8604559739916877,-1.41653254612426,-1.1318002794647868,0.0026430996907437668,0.5117407604679222,-0.1535965404033218,0.3104879441088547,1,2024-08-02,1.795,1.785,-0.005571030640668551,-0.005571030640668551,TRADE_OK,2025-12-23
513520.SH,2024-07-25,2024-07-26,2024-07-25,-0.3287010657268107,-1.41653254612426,-0.6292265990272301,-0.8559164084324755,0.23471867403250402,-0.16066386487195627,0.12924775777653527,2,2024-08-02,1.42,1.409,-0.007746478873239315,-0.007746478873239315,TRADE_OK,2025-12-23
513000.SH,2024-07-25,2024-07-26,2024-07-25,-0.5476589691299975,-1.2639203630952085,-0.4258971456114779,-0.7878550078691312,-0.5552931385935787,-0.686202440075835,0.006006226128515646,3,2024-08-02,1.3860000000000001,1.3439999999999999,-0.030303030303030498,-0.030303030303030498,TRADE_OK,2025-12-23
512200.SH,2024-08-29,2024-08-30,2024-08-29,2.480320303599537,2.3735233609356525,-0.6127035476192478,0.3766096682827826,-0.48602429928917656,1.966506011781328,-0.06061652428157244,1,2024-09-06,1.113,1.147,0.03054806828391743,0.03054806828391743,TRADE_OK,2025-12-23
512200.SH,2024-09-12,2024-09-13,2024-09-12,0.004949072792342175,-0.3486266869198973,0.7975663217754393,0.8855525226556255,-0.5044819156673459,-0.43373529566239133,0.10014738086051904,1,2024-09-20,1.133,1.2169999999999999,0.07413945278022926,0.07413945278022926,TRADE_OK,2025-12-23
159687.SZ,2024-10-10,2024-10-11,2024-10-10,-0.7770434393619018,0.7487560820541973,0.8682056995412621,0.400821477069502,-0.6117519959404454,-0.9201913696386435,-0.2715227536430691,1,2024-10-18,1.278,1.28,0.0015649452269170805,0.0015649452269170805,TRADE_OK,2025-12-23
