code,select_td,buy_td,sell_td,buy_open,sell_close,gross_ret,net_ret,behave,last_avail
159636.SZ,2024-10-17,2024-10-18,2024-10-25,0.9630000000000001,1.0190000000000001,0.05815160955347887,0.05815160955347887,TRADE_OK,2025-12-23
159732.SZ,2024-10-17,2024-10-18,2024-10-25,0.73,0.79,0.08219178082191791,0.08219178082191791,TRADE_OK,2025-12-23
159747.SZ,2024-10-17,2024-10-18,2024-10-25,1.088,1.129,0.037683823529411686,0.037683823529411686,TRADE_OK,2025-12-23
159755.SZ,2024-10-17,2024-10-18,2024-10-25,0.602,0.684,0.13621262458471772,0.13621262458471772,TRADE_OK,2025-12-23
159780.SZ,2024-10-17,2024-10-18,2024-10-25,0.528,0.591,0.11931818181818166,0.11931818181818166,TRADE_OK,2025-12-23
159781.SZ,2024-10-17,2024-10-18,2024-10-25,0.524,0.5870000000000001,0.1202290076335879,0.1202290076335879,TRADE_OK,2025-12-23
159783.SZ,2024-10-17,2024-10-18,2024-10-25,0.528,0.593,0.12310606060606055,0.12310606060606055,TRADE_OK,2025-12-23
159828.SZ,2024-10-17,2024-10-18,2024-10-25,0.399,0.436,0.09273182957393478,0.09273182957393478,TRADE_OK,2025-12-23
159841.SZ,2024-10-17,2024-10-18,2024-10-25,0.982,1.0399999999999998,0.05906313645621153,0.05906313645621153,TRADE_OK,2025-12-23
159842.SZ,2024-10-17,2024-10-18,2024-10-25,1.022,1.08,0.05675146771037176,0.05675146771037176,TRADE_OK,2025-12-23
159859.SZ,2024-10-17,2024-10-18,2024-10-25,0.364,0.399,0.09615384615384626,0.09615384615384626,TRADE_OK,2025-12-23
159901.SZ,2024-10-17,2024-10-18,2024-10-25,2.65,2.8369999999999997,0.07056603773584902,0.07056603773584902,TRADE_OK,2025-12-23
159920.SZ,2024-10-17,2024-10-18,2024-10-25,1.229,1.2510000000000001,0.017900732302685185,0.017900732302685185,TRADE_OK,2025-12-23
159967.SZ,2024-10-17,2024-10-18,2024-10-25,0.457,0.498,0.0897155361050328,0.0897155361050328,TRADE_OK,2025-12-23
159993.SZ,2024-10-17,2024-10-18,2024-10-25,1.143,1.206,0.055118110236220375,0.055118110236220375,TRADE_OK,2025-12-23
159996.SZ,2024-10-17,2024-10-18,2024-10-25,1.243,1.341,0.07884151246983095,0.07884151246983095,TRADE_OK,2025-12-23
510050.SH,2024-10-17,2024-10-18,2024-10-25,2.715,2.793,0.02872928176795586,0.02872928176795586,TRADE_OK,2025-12-23
510180.SH,2024-10-17,2024-10-18,2024-10-25,3.6580000000000004,3.7889999999999997,0.03581191908146519,0.03581191908146519,TRADE_OK,2025-12-23
510310.SH,2024-10-17,2024-10-18,2024-10-25,3.783,3.8779999999999997,0.025112344699973477,0.025112344699973477,TRADE_OK,2025-12-23
510900.SH,2024-10-17,2024-10-18,2024-10-25,0.925,0.9460000000000001,0.022702702702702693,0.022702702702702693,TRADE_OK,2025-12-23
512000.SH,2024-10-17,2024-10-18,2024-10-25,1.037,1.097,0.057859209257473454,0.057859209257473454,TRADE_OK,2025-12-23
512070.SH,2024-10-17,2024-10-18,2024-10-25,0.787,0.8240000000000001,0.04701397712833555,0.04701397712833555,TRADE_OK,2025-12-23
512170.SH,2024-10-17,2024-10-18,2024-10-25,0.322,0.35300000000000004,0.09627329192546585,0.09627329192546585,TRADE_OK,2025-12-23
512290.SH,2024-10-17,2024-10-18,2024-10-25,0.912,0.9710000000000001,0.06469298245614041,0.06469298245614041,TRADE_OK,2025-12-23
513010.SH,2024-10-17,2024-10-18,2024-10-25,0.601,0.625,0.03993344425956735,0.03993344425956735,TRADE_OK,2025-12-23
513020.SH,2024-10-17,2024-10-18,2024-10-25,0.8200000000000001,0.868,0.05853658536585349,0.05853658536585349,TRADE_OK,2025-12-23
513050.SH,2024-10-17,2024-10-18,2024-10-25,1.2,1.218,0.015000000000000124,0.015000000000000124,TRADE_OK,2025-12-23
513180.SH,2024-10-17,2024-10-18,2024-10-25,0.591,0.613,0.0372250423011844,0.0372250423011844,TRADE_OK,2025-12-23
513260.SH,2024-10-17,2024-10-18,2024-10-25,1.1260000000000001,1.168,0.03730017761989335,0.03730017761989335,TRADE_OK,2025-12-23
513550.SH,2024-10-17,2024-10-18,2024-10-25,0.872,0.895,0.026376146788990917,0.026376146788990917,TRADE_OK,2025-12-23
513600.SH,2024-10-17,2024-10-18,2024-10-25,2.305,2.325,0.008676789587852562,0.008676789587852562,TRADE_OK,2025-12-23
513660.SH,2024-10-17,2024-10-18,2024-10-25,2.419,2.49,0.029350971475816445,0.029350971475816445,TRADE_OK,2025-12-23
513860.SH,2024-10-17,2024-10-18,2024-10-25,0.524,0.559,0.06679389312977113,0.06679389312977113,TRADE_OK,2025-12-23
513890.SH,2024-10-17,2024-10-18,2024-10-25,0.888,0.924,0.04054054054054057,0.04054054054054057,TRADE_OK,2025-12-23
513980.SH,2024-10-17,2024-10-18,2024-10-25,0.525,0.558,0.06285714285714294,0.06285714285714294,TRADE_OK,2025-12-23
515030.SH,2024-10-17,2024-10-18,2024-10-25,1.099,1.233,0.12192902638762515,0.12192902638762515,TRADE_OK,2025-12-23
515120.SH,2024-10-17,2024-10-18,2024-10-25,0.52,0.555,0.06730769230769229,0.06730769230769229,TRADE_OK,2025-12-23
515700.SH,2024-10-17,2024-10-18,2024-10-25,1.459,1.6320000000000001,0.11857436600411253,0.11857436600411253,TRADE_OK,2025-12-23
515800.SH,2024-10-17,2024-10-18,2024-10-25,0.968,1.0190000000000001,0.052685950413223326,0.052685950413223326,TRADE_OK,2025-12-23
515880.SH,2024-10-17,2024-10-18,2024-10-25,1.274,1.4100000000000001,0.10675039246467821,0.10675039246467821,TRADE_OK,2025-12-23
516160.SH,2024-10-17,2024-10-18,2024-10-25,1.8800000000000001,2.198,0.16914893617021276,0.16914893617021276,TRADE_OK,2025-12-23
560050.SH,2024-10-17,2024-10-18,2024-10-25,0.8140000000000001,0.842,0.03439803439803435,0.03439803439803435,TRADE_OK,2025-12-23
561300.SH,2024-10-17,2024-10-18,2024-10-25,0.794,0.8230000000000001,0.03652392947103267,0.03652392947103267,TRADE_OK,2025-12-23
562500.SH,2024-10-17,2024-10-18,2024-10-25,0.672,0.723,0.07589285714285698,0.07589285714285698,TRADE_OK,2025-12-23
563000.SH,2024-10-17,2024-10-18,2024-10-25,0.8160000000000001,0.844,0.034313725490195957,0.034313725490195957,TRADE_OK,2025-12-23
588050.SH,2024-10-17,2024-10-18,2024-10-25,0.904,1.0210000000000001,0.12942477876106206,0.12942477876106206,TRADE_OK,2025-12-23
588330.SH,2024-10-17,2024-10-18,2024-10-25,0.536,0.599,0.11753731343283569,0.11753731343283569,TRADE_OK,2025-12-23
588380.SH,2024-10-17,2024-10-18,2024-10-25,0.538,0.606,0.12639405204460963,0.12639405204460963,TRADE_OK,2025-12-23
510100.SH,2024-10-17,2024-10-18,2024-10-25,1.324,1.366,0.031722054380664666,0.031722054380664666,TRADE_OK,2025-12-23
